solar_sim,solar_clipped,wind_sim,wind_clipped,demand_sim,demand_clipped,solar_cap_MW,wind_cap_MW,demand_cap_MW,group,pipeline
0.0,0.0,732.869,178.979,2490.606,2490.606,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,2.562,2.562,3244.737,3244.737,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.0,0.0,2210.437,2210.437,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,3.0026659143017836e+18,178.979,3733.456,3577.2,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.0,0.0,2525.586,2525.586,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.0,0.0,2648.369,2648.369,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,2.0429271712377537e+22,178.979,3453.688,3453.688,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,3822947163.266,178.979,2614.904,2614.904,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,33894.569,178.979,3009.003,3009.003,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.0,0.0,2056.098,2056.098,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.0,0.0,2142.004,2142.004,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.003,0.003,2761.403,2761.403,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.0,0.0,3194.53,3194.53,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,1866.372,178.979,2604.945,2604.945,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.02,0.02,3045.709,3045.709,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.0,0.0,2520.46,2520.46,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.0,0.0,3294.706,3294.706,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.001,0.001,3515.169,3515.169,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,32.682,32.682,2933.956,2933.956,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,3965903694946776.0,178.979,2890.571,2890.571,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.0,0.0,1927.882,1927.882,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,2.042,2.042,2430.715,2430.715,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.0,0.0,2165.403,2165.403,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,0.001,0.001,2749.09,2749.09,0.0,178.979,3577.2,winter_night,150MW
0.0,0.0,124473.6,178.979,3136.528,3136.528,0.0,178.979,3577.2,winter_night,150MW
