solar_sim,solar_clipped,wind_sim,wind_clipped,demand_sim,demand_clipped,solar_cap_MW,wind_cap_MW,demand_cap_MW,group,pipeline
106.811,106.811,361.158,178.927,2815.306,2815.306,106.82,178.927,3681.84,fall_day,110MW
89.798,89.798,195.969,178.927,2616.109,2616.109,106.82,178.927,3681.84,fall_day,110MW
24.518,24.518,66.309,66.309,2492.745,2492.745,106.82,178.927,3681.84,fall_day,110MW
106.765,106.765,101.582,101.582,2284.725,2284.725,106.82,178.927,3681.84,fall_day,110MW
79.276,79.276,25.246,25.246,2325.255,2325.255,106.82,178.927,3681.84,fall_day,110MW
19.968,19.968,36.871,36.871,2281.844,2281.844,106.82,178.927,3681.84,fall_day,110MW
24.217,24.217,32.719,32.719,2293.778,2293.778,106.82,178.927,3681.84,fall_day,110MW
106.588,106.588,858.121,178.927,2415.518,2415.518,106.82,178.927,3681.84,fall_day,110MW
106.816,106.816,11.075,11.075,3510.899,3510.899,106.82,178.927,3681.84,fall_day,110MW
40.174,40.174,0.264,0.264,2247.109,2247.109,106.82,178.927,3681.84,fall_day,110MW
16.14,16.14,65.535,65.535,2125.59,2125.59,106.82,178.927,3681.84,fall_day,110MW
26.925,26.925,25.858,25.858,2023.438,2023.438,106.82,178.927,3681.84,fall_day,110MW
33.21,33.21,150.412,150.412,2179.066,2179.066,106.82,178.927,3681.84,fall_day,110MW
106.443,106.443,109.59,109.59,2484.595,2484.595,106.82,178.927,3681.84,fall_day,110MW
26.04,26.04,192.628,178.927,2169.244,2169.244,106.82,178.927,3681.84,fall_day,110MW
106.711,106.711,154.321,154.321,2770.975,2770.975,106.82,178.927,3681.84,fall_day,110MW
106.815,106.815,6.231,6.231,1778.517,1778.517,106.82,178.927,3681.84,fall_day,110MW
106.368,106.368,218.125,178.927,2130.438,2130.438,106.82,178.927,3681.84,fall_day,110MW
58.207,58.207,313.314,178.927,1991.905,1991.905,106.82,178.927,3681.84,fall_day,110MW
96.811,96.811,29.81,29.81,1949.39,1949.39,106.82,178.927,3681.84,fall_day,110MW
104.913,104.913,213.711,178.927,2129.871,2129.871,106.82,178.927,3681.84,fall_day,110MW
105.288,105.288,62.045,62.045,1990.829,1990.829,106.82,178.927,3681.84,fall_day,110MW
104.208,104.208,142.359,142.359,1766.024,1766.024,106.82,178.927,3681.84,fall_day,110MW
21.267,21.267,144.072,144.072,2188.989,2188.989,106.82,178.927,3681.84,fall_day,110MW
105.044,105.044,39.553,39.553,2220.81,2220.81,106.82,178.927,3681.84,fall_day,110MW
